brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Chrysler,300C SRT8,2006,43000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,True,19995
Bentley,Continental GT W12,2017,14684,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Automatic,White,White,None reported,True,130000
BMW,M4 Base,2019,57800,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Other,Black,Red,None reported,True,55999
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,Manual,Silver,Gray,None reported,True,49950
Audi,RS 5 2.9T,2019,21240,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,True,59950
Porsche,Cayenne Base,2019,59338,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Other,Black,Black,None reported,True,42499
Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,False,359991
Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,44999
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,True,30000
Lexus,ES 330 Base,2005,41059,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,11100
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,2.0 Liter,Automatic,White,Black,None reported,False,37998
Porsche,Cayman GTS,2015,11500,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Silver,–,None reported,True,72000
Genesis,G90 3.3T Premium,2021,9950,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Blue,None reported,True,53950
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,True,47999
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Gray,At least 1 accident or damage reported,True,15900
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,True,45000
BMW,740 Li,2012,85252,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,18500
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,True,80000
BMW,M6 Base,2016,25500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,55000
Subaru,Forester 2.5 X,2004,210703,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Manual,Green,Beige,None reported,False,2300
Hyundai,Elantra N Base,2023,3800,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,True,34000
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Automatic,Horizon Blue,Charcoal,None reported,True,31995
Rivian,R1S Adventure Package,2023,2800,Gasoline,835.0HP Electric Motor Electric Fuel System,Automatic,White,Green,None reported,True,92000
Aston,Martin DBS Superleggera,2021,2165,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,Automatic,Black,Black,None reported,True,279950
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,True,29900
BMW,435 Gran Coupe i,2016,76009,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,24950
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,False,39366
Lexus,RC 350 Base,2015,48000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Other,Orange,Red,None reported,True,32900
BMW,525 i,2005,91420,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,8900
Toyota,Corolla LE,2003,124756,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Manual,Beige,Beige,At least 1 accident or damage reported,True,4995
Cadillac,CT5-V Blackwing,2023,2415,Gasoline,6.2L V8 16V GDI OHV Supercharged,Automatic,Rift Metallic,Gray,None reported,False,104900
GMC,Acadia SLT-1,2012,116226,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,7900
Lexus,LC 500 Base,2020,37869,Gasoline,5.0L V8 32V PDI DOHC,Automatic,Atomic Silver,Rioja Red,None reported,False,75950
BMW,i8 Base,2019,41500,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Other,White,Black,None reported,True,86000
Lexus,ES 300h Base,2013,87001,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT,Gold,Beige,None reported,True,17995
Cadillac,CT5-V V-Series,2022,4451,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,True,55655
BMW,540 i xDrive,2020,27158,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,False,39998
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,True,14500
Jeep,Gladiator Rubicon,2022,27300,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,None reported,True,47500
BMW,Z4 sDrive28i,2014,36812,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Other,White,Beige,None reported,True,27000
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,True,18000
Cadillac,XT4 Sport,2019,44500,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,None reported,True,28900
BMW,750 750i xDrive,2021,10917,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,False,73998
Bentley,Arnage R,2005,8332,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,47350
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,False,47698
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Other,Black,Brown,None reported,True,36500
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Black,None reported,True,32662
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,White,Black,At least 1 accident or damage reported,True,6600
Audi,A5 2.0T Premium,2011,92203,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Other,Red,Beige,None reported,True,9995
Nissan,GT-R Premium,2010,15600,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Other,White,Black,None reported,True,69500
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,False,30775
Toyota,Corolla LE,2010,72348,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,At least 1 accident or damage reported,True,9995
Rivian,R1S Adventure Package,2023,2500,Gasoline,835.0HP Electric Motor Electric Fuel System,Automatic,Green,White,None reported,True,94000
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,False,44798
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Other,White,Red,At least 1 accident or damage reported,True,23000
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,Automatic,Summit White,Medium Pewter,None reported,True,22495
INFINITI,Q70h Base,2016,52750,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Black,At least 1 accident or damage reported,True,28998
Audi,A7 Premium Plus,2020,25361,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,None reported,False,49998
Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,False,9995
Lucid,Air Pure,2023,1300,Gasoline,620.0HP Electric Motor Electric Fuel System,Automatic,Black,Gray,None reported,False,86900
Chrysler,Pacifica Touring,2017,87305,not supported,Electric,Automatic,Silver,Black,None reported,True,9000
Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,False,25999
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,30000
Subaru,Forester Premium,2021,42125,Gasoline,2.5L H4 16V GDI DOHC,Automatic,Crystal Black Silica,Black,None reported,True,27899
Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Other,Black,Black,None reported,True,40000
Land,Rover LR3 HSE,2006,153843,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Beige,At least 1 accident or damage reported,True,9950
BMW,X7 xDrive40i,2019,35248,Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,None reported,False,53998
Ford,Transit Connect XLT,2015,194454,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,9888
Lexus,LX 570 Three-Row,2021,21000,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Other,White,Black,None reported,True,89999
Porsche,911 Carrera S,2013,18494,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,False,86900
Dodge,Ram 2500 Laramie Quad Cab,2006,218000,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,None reported,True,12990
Nissan,Armada SL,2021,67800,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,True,36500
Porsche,Cayman Base,2014,79000,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Other,Red,Black,At least 1 accident or damage reported,True,42999
Mercedes-Benz,GLE 450 GLE 450,2022,24906,Hybrid,3.0 Liter Turbo,Automatic,Selenite Grey Metallic,Black,None reported,False,63998
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,True,12000
BMW,M5 Base,2013,86000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Other,Blue,White,None reported,True,32000
Hyundai,Kona N Base,2023,654,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Ultra Black,Black,None reported,True,34599
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,12500
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Beige,Black,At least 1 accident or damage reported,True,22800
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Other,Gray,Gray,None reported,True,39999
GMC,Acadia SLT-1,2011,120000,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,None reported,True,7500
Alfa,Romeo Stelvio Ti Sport,2020,18665,Gasoline,2.0L I4 16V GDI SOHC Turbo,Automatic,Lunare White Metallic,Ice,None reported,True,35645
Ferrari,FF Base,2016,19987,Gasoline,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,None reported,True,149900
Kia,K900 5.0L,2017,36486,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,True,23950
Ford,E150 XLT,2013,162100,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,Automatic,Black,Gray,None reported,True,12500
Tesla,Model 3 Performance,2022,13079,Gasoline,455.0HP Electric Motor Electric Fuel System,Automatic,Black,White,None reported,True,47000
Toyota,4Runner SR5,2022,28377,Gasoline,4.0L V6 24V MPFI DOHC,Automatic,Silver,Gray,None reported,False,36999
Subaru,Forester Base,2020,32744,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT,Black,Gray,None reported,True,24000
Porsche,Panamera 2,2012,54000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,–,At least 1 accident or damage reported,True,26000
Toyota,Tacoma PreRunner,2008,202055,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,True,8500
RAM,2500 Laramie,2019,65000,Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Automatic,Black,Black,None reported,True,65000
Kia,Sportage Nightfall,2022,9686,Gasoline,2.4L I4 16V GDI DOHC,Automatic,Hyper Red,Black,None reported,True,30990
Cadillac,DTS Base,2010,49620,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,True,10499
Toyota,Land Cruiser Base,1997,213000,Gasoline,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,26500
Nissan,GT-R Premium,2020,16010,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,114000
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,2.4 Liter,Automatic,Black,Black,None reported,False,51998
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,True,36499
Lexus,LX 470 Base,1999,82000,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,25000
GMC,Terrain SLE,2022,27352,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic,Summit White,Jet Black,None reported,False,27785
Ford,Escape Limited,2012,129000,Gasoline,171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,True,7000
Lexus,LS 460 L,2014,106731,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,True,30000
Ford,Expedition Platinum,2019,34672,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,White,None reported,True,45500
Chevrolet,Malibu LTZ,2010,55900,Gasoline,252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Other,Beige,Beige,None reported,True,8950
Audi,RS 7 4.0T quattro,2023,3158,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Daytona Gray Pearl Effect,Black / Express Red,None reported,False,128900
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Brown,None reported,True,17000
Genesis,G70 2.0T,2023,4785,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Vik Black,Obsidian Black,None reported,True,42850
Chevrolet,Trailblazer LS,2021,20497,Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic,Pacific Blue Metallic,Black,None reported,False,22999
Scion,tC Base,2013,177600,Gasoline,180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,True,7100
